index,Country,Date,AvgTemperature
63428,Sri Lanka,2018-01-27,80.0
63429,Sri Lanka,2018-01-28,79.1
63430,Sri Lanka,2018-01-29,81.1
63431,Sri Lanka,2018-01-30,79.8
63432,Sri Lanka,2018-01-31,79.4
63433,Sri Lanka,2018-02-01,80.1
63434,Sri Lanka,2018-02-02,79.3
63435,Sri Lanka,2018-02-03,80.3
63436,Sri Lanka,2018-02-04,80.6
63437,Sri Lanka,2018-02-05,80.8
63438,Sri Lanka,2018-02-06,80.3
63439,Sri Lanka,2018-02-07,81.3
63440,Sri Lanka,2018-02-08,79.6
63441,Sri Lanka,2018-02-09,81.0
63442,Sri Lanka,2018-02-10,79.7
63443,Sri Lanka,2018-02-11,81.1
63444,Sri Lanka,2018-02-12,82.0
63445,Sri Lanka,2018-02-13,81.5
63446,Sri Lanka,2018-02-14,81.3
63447,Sri Lanka,2018-02-15,84.2
63448,Sri Lanka,2018-02-16,82.8
63449,Sri Lanka,2018-02-17,80.8
63450,Sri Lanka,2018-02-18,77.0
63451,Sri Lanka,2018-02-19,78.6
63452,Sri Lanka,2018-02-20,80.1
63453,Sri Lanka,2018-02-21,78.5
63454,Sri Lanka,2018-02-22,78.1
63455,Sri Lanka,2018-02-23,80.6
63456,Sri Lanka,2018-02-24,83.7
63457,Sri Lanka,2018-02-25,82.2
63458,Sri Lanka,2018-02-26,79.8
63459,Sri Lanka,2018-02-27,78.3
63460,Sri Lanka,2018-02-28,80.8
63461,Sri Lanka,2018-03-01,82.4
63462,Sri Lanka,2018-03-02,82.1
63463,Sri Lanka,2018-03-03,81.3
63464,Sri Lanka,2018-03-04,82.2
63465,Sri Lanka,2018-03-05,83.0
63466,Sri Lanka,2018-03-06,81.5
63467,Sri Lanka,2018-03-07,81.4
63468,Sri Lanka,2018-03-08,83.3
63469,Sri Lanka,2018-03-09,81.5
63470,Sri Lanka,2018-03-10,81.1
63471,Sri Lanka,2018-03-11,83.0
63472,Sri Lanka,2018-03-12,78.7
63473,Sri Lanka,2018-03-13,80.3
63474,Sri Lanka,2018-03-14,83.3
63475,Sri Lanka,2018-03-15,83.4
63476,Sri Lanka,2018-03-16,83.8
63477,Sri Lanka,2018-03-17,82.5
63478,Sri Lanka,2018-03-18,83.6
63479,Sri Lanka,2018-03-19,83.2
63480,Sri Lanka,2018-03-20,83.8
63481,Sri Lanka,2018-03-21,83.7
63482,Sri Lanka,2018-03-22,84.7
63483,Sri Lanka,2018-03-23,84.6
63484,Sri Lanka,2018-03-24,83.5
63485,Sri Lanka,2018-03-25,83.3
63486,Sri Lanka,2018-03-26,81.9
63487,Sri Lanka,2018-03-27,82.2
63488,Sri Lanka,2018-03-28,82.3
63489,Sri Lanka,2018-03-29,84.0
63490,Sri Lanka,2018-03-30,84.7
63491,Sri Lanka,2018-03-31,83.6
63492,Sri Lanka,2018-04-01,82.7
63493,Sri Lanka,2018-04-02,81.5
63494,Sri Lanka,2018-04-03,82.6
63495,Sri Lanka,2018-04-04,84.1
63496,Sri Lanka,2018-04-05,83.7
63497,Sri Lanka,2018-04-06,81.5
63498,Sri Lanka,2018-04-07,80.5
63499,Sri Lanka,2018-04-08,82.3
63500,Sri Lanka,2018-04-09,79.8
63501,Sri Lanka,2018-04-10,81.1
63502,Sri Lanka,2018-04-11,80.8
63503,Sri Lanka,2018-04-12,78.6
63504,Sri Lanka,2018-04-13,78.3
